@relation flowClassify

@attribute srcIp numeric
@attribute dstIp numeric
@attribute srcPort numeric
@attribute dstPort numeric
@attribute protocol numeric
@attribute serverOrClient numeric
@attribute packetSize numeric
@attribute class {Elephant, Mouse}

@data

% instances: 7168

1118897121,1084218786,9,828,6,2,1689,Mouse
290230460,1084218848,9,1236,6,1,4320,Mouse
43256489,1084218848,9,1558,6,1,653,Mouse
43256489,1084218848,9,1557,6,1,669,Mouse
1150344045,1844015053,402,7,17,0,114,Mouse
1844014886,1084218634,74,129,17,0,348,Mouse
290230460,1084218848,9,1239,6,1,4320,Mouse
43256489,1084218848,9,1541,6,1,4320,Mouse
1843964742,1084218848,74,690,17,0,348,Mouse
43256489,1084218848,9,1545,6,1,605,Mouse
43256489,1084218848,9,1544,6,1,1510,Mouse
43256489,1084218848,9,1543,6,1,611,Mouse
43256489,1084218848,9,1542,6,1,3167,Mouse
43256489,1084218848,9,1546,6,1,668,Mouse
1084220398,1084218772,9,400,17,0,219,Mouse
43256492,1084218848,9,1547,6,1,4320,Mouse
1084220398,1084218772,9,405,17,0,266,Mouse
1844015096,1084218848,74,690,17,0,348,Mouse
1844014880,1084218848,74,344,17,0,348,Mouse
310885455,1084218787,9,702,6,2,237,Mouse
1118897121,1084218786,9,824,6,2,1740,Mouse
1084220398,1084218772,9,406,17,0,180,Mouse
1118897121,1084218786,9,823,6,2,204,Mouse
1844015082,1084218848,74,900,17,0,348,Mouse
1103589861,1084218758,9,22,6,2,654,Mouse
481218378,1084218755,3,4,6,2,60,Mouse
1084219134,1084218859,25,26,17,0,300,Mouse
1118897121,1084218786,9,806,6,2,1644,Mouse
1118897121,1084218786,9,805,6,2,356,Mouse
43256492,1084218848,9,1561,6,1,3094,Mouse
43256492,1084218848,9,1562,6,1,4320,Mouse
1844015097,1084218872,74,126,17,0,116,Mouse
1084220398,1084218838,9,815,17,0,270,Mouse
1118897121,1084218786,9,810,6,2,1740,Mouse
1118897121,1084218786,9,813,6,2,921,Mouse
1844015041,1084218827,74,329,17,0,116,Mouse
1844015072,1084218872,74,126,17,0,348,Mouse
1843964742,1118943492,74,522,17,0,116,Mouse
1103589861,1084218758,9,35,6,2,625,Mouse
3680939563,1084218789,9,243,6,2,4080,Mouse
1471754824,1084218835,9,87,17,0,95,Mouse
1844015084,1844015023,74,73,17,0,348,Mouse
1844015079,1084218848,74,971,17,0,348,Mouse
1118897121,1084218786,9,800,6,2,615,Mouse
1084220398,1084218772,9,429,17,0,100,Mouse
281689305,1084218844,9,321,6,2,161,Mouse
1118897121,1084218786,9,801,6,2,945,Mouse
481461498,1084218853,9,1020,6,2,507,Mouse
